snapshot_date,neighbourhood_group_cleansed,neighbourhood_cleansed,n_listings_total,n_listings_active,price_median,price_mean,pct_active
2025-09-14,San Blas - Canillejas,Arcos,52,35,42.0,124.29411764705883,67.3076923076923
2025-09-14,San Blas - Canillejas,Canillejas,122,80,68.0,81.13157894736842,65.57377049180327
2025-09-14,San Blas - Canillejas,Hellín,24,12,59.0,91.0,50.0
2025-09-14,San Blas - Canillejas,Rejas,161,130,84.0,97.7457627118644,80.74534161490683
2025-09-14,San Blas - Canillejas,Rosas,53,31,97.0,185.27586206896552,58.490566037735846
2025-09-14,San Blas - Canillejas,Salvador,29,23,84.0,142.33333333333334,79.3103448275862
2025-09-14,San Blas - Canillejas,Simancas,143,94,81.0,94.2289156626506,65.73426573426573
2025-09-14,Tetuán,Almenara,198,167,112.0,118.85350318471338,84.34343434343434
2025-09-14,Tetuán,Bellas Vistas,225,166,94.5,122.89506172839506,73.77777777777777
2025-09-14,Tetuán,Berruguete,232,206,86.0,110.16,88.79310344827587
2025-09-14,Tetuán,Castillejos,290,234,108.0,326.0321100917431,80.6896551724138
2025-09-14,Tetuán,Cuatro Caminos,478,407,110.0,115.11849710982659,85.14644351464436
2025-09-14,Tetuán,Valdeacederas,256,221,92.0,101.71363636363637,86.328125
2025-09-14,Usera,Almendrales,121,104,67.5,126.80434782608695,85.9504132231405
2025-09-14,Usera,Moscardó,153,127,62.0,77.54838709677419,83.00653594771242
2025-09-14,Usera,Orcasitas,33,28,40.5,52.291666666666664,84.84848484848484
2025-09-14,Usera,Orcasur,69,57,93.0,103.30909090909091,82.6086956521739
2025-09-14,Usera,Pradolongo,58,46,51.0,62.75,79.3103448275862
2025-09-14,Usera,San Fermín,52,36,52.0,83.15625,69.23076923076923
2025-09-14,Usera,Zofío,52,39,60.0,66.82608695652173,75.0
2025-09-14,Vicálvaro,Ambroz,14,11,40.5,59.7,78.57142857142857
2025-09-14,Vicálvaro,Casco Histórico de Vicálvaro,71,57,55.0,73.9245283018868,80.28169014084507
2025-09-14,Villa de Vallecas,Casco Histórico de Vallecas,104,80,79.5,85.05882352941177,76.92307692307693
2025-09-14,Villa de Vallecas,Santa Eugenia,9,8,53.5,66.625,88.88888888888889
2025-09-14,Villaverde,Butarque,28,20,50.0,61.55,71.42857142857143
2025-09-14,Villaverde,Los Angeles,50,38,35.0,58.88235294117647,76.0
2025-09-14,Villaverde,Los Rosales,56,42,78.0,77.84615384615384,75.0
2025-09-14,Villaverde,San Andrés,91,71,75.5,80.79032258064517,78.02197802197803
2025-09-14,Villaverde,San Cristobal,21,15,45.5,46.357142857142854,71.42857142857143
